source_id,source_type,title,url,accessed_date,coverage_start,coverage_end,source_locator,authority,scope,provenance_status,notes
SRC-WIKI-1996,wikipedia,1996年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1996%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,1996,1996,revision 93189391,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-1997,wikipedia,1997年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1997%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,1997,1997,revision 86945547,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-1998,wikipedia,1998年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1998%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,1998,1998,revision 67074272,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-1999,wikipedia,1999年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1999%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,1999,1999,revision 89282870,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2000,wikipedia,2000年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2000%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2000,2000,revision 67074265,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2001,wikipedia,2001年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2001年中华人民共和国县级以上行政区划变更列表,2026-07-11,2001,2001,revision 93196020,project,伊犁地区撤销,reviewed_reference,Secondary source
SRC-WIKI-2002,wikipedia,2002年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2002年中华人民共和国县级以上行政区划变更列表,2026-07-12,2002,2002,revision 93197934,project,南宁地区撤销并分为崇左市和南宁市辖县,reviewed_reference,Secondary source checked against county composition
SRC-WIKI-2003,wikipedia,2003年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2003年中华人民共和国县级以上行政区划变更列表,2026-07-11,2003,2003,revision 93199784,project,思茅地区改市及中卫设市;临沧年份校正,reviewed_reference,Secondary source
SRC-WIKI-2004,wikipedia,2004年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2004%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2004,2004,revision 93202041,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2005,wikipedia,2005年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2005%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2005,2005,revision 79571394,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2006,wikipedia,2006年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2006%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2006,2006,revision 86945526,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2007,wikipedia,2007年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2007%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2007,2007,revision 93208222,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2008,wikipedia,2008年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2008%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2008,2008,revision 67074123,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2009,wikipedia,2009年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2009%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2009,2009,revision 93217121,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2010,wikipedia,2010年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2010%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2010,2010,revision 93224037,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2011,wikipedia,2011年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2011年中华人民共和国县级以上行政区划变更列表,2026-07-11,2011,2011,revision 88403970,project,地级巢湖市撤销,reviewed_reference,Secondary source
SRC-WIKI-2012,wikipedia,2012年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2012年中华人民共和国县级以上行政区划变更列表,2026-07-11,2012,2012,revision 67074044,project,三沙市设立,reviewed_reference,Secondary source
SRC-WIKI-2013,wikipedia,2013年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2013%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2013,2013,revision 93242307,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2014,wikipedia,2014年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2014年中华人民共和国县级以上行政区划变更列表,2026-07-11,2014,2014,revision 93248443,project,昌都地区改市,reviewed_reference,Secondary source
SRC-WIKI-2015,wikipedia,2015年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2015年中华人民共和国县级以上行政区划变更列表,2026-07-11,2015,2015,revision 93253150,project,儋州升为地级市,reviewed_reference,Secondary source
SRC-WIKI-2016,wikipedia,2016年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2016%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2016,2016,revision 77572371,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2017,wikipedia,2017年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2017%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2017,2017,revision 93265348,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2018,wikipedia,2018年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2018%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2018,2018,revision 93273619,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2019,wikipedia,2019年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2019年中华人民共和国县级以上行政区划变更列表,2026-07-11,2019,2019,revision 83308898,project,莱芜撤销并入济南,reviewed_reference,Secondary source; approval was in 2018 and implementation/publication in 2019
SRC-WIKI-2020,wikipedia,2020年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2020%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2020,2020,revision 71535094,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2021,wikipedia,2021年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2021%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2021,2021,revision 93333083,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2022,wikipedia,2022年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2022%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2022,2022,revision 93345798,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2023,wikipedia,2023年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2023%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2023,2023,revision 93353792,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2024,wikipedia,2024年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2024%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2024,2024,revision 91362859,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2025,wikipedia,2025年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2025%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2025,2025,revision 92045514,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-2026,wikipedia,2026年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2026%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,2026-07-11,2026,2026,revision 92657320,project,prefecture_and_county_change_archive,reviewed_reference,Annual page is retained with revision ID in the local archive inventory.
SRC-WIKI-DIQING,wikipedia,迪庆藏族自治州,https://zh.wikipedia.org/wiki/迪庆藏族自治州,2026-07-11,,,,project,E533400 level-mismatch correction,reviewed_reference,Secondary source; county-level Shangri-La history removed from prefecture entity
SRC-XZQH-1983-Q4,secondary_transcription,1983年行政区划（第7页）,https://www.xzqh.org/html/show/cn/1983_7.html,2026-08-04,1983-10,1983-12,区划地名网 1983年行政区划 第7页,project,county_level_and_above_changes,reviewed_reference,条目为区划地名网根据公开国务院批复整理的转录，保留原条目文字。
SRC-XZQH-1984-H1,secondary_transcription,1984年行政区划（第3页）,https://www.xzqh.org/html/show/cn/1984_3.html,2026-08-04,1984-01,1984-06,区划地名网 1984年行政区划 第3页,project,county_level_and_above_changes,reviewed_reference,条目为区划地名网根据公开国务院批复整理的转录，保留原条目文字。
